City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
126,Pedernales,DO,2022-05-22 04:56:25,18.0384,-71.744,79.63,73,100,3.65,overcast clouds
127,Gisborne,NZ,2022-05-22 04:56:25,-38.6533,178.0042,60.78,62,12,10.31,few clouds
128,Johi,PK,2022-05-22 04:56:26,26.6921,67.6133,110.39,5,0,4.85,clear sky
129,Srednekolymsk,RU,2022-05-22 04:56:26,67.45,153.6833,55.33,48,100,10.42,overcast clouds
130,Atuona,PF,2022-05-22 04:56:27,-9.8,-139.0333,77.61,79,20,8.46,light rain
131,Port Angeles,US,2022-05-22 04:54:42,48.1181,-123.4307,55.42,73,0,9.22,clear sky
132,Marawi,PH,2022-05-22 04:56:27,7.9986,124.2928,78.03,82,89,3.15,overcast clouds
133,Piney Green,US,2022-05-22 04:56:28,34.716,-77.3202,75.9,94,90,5.84,overcast clouds
134,Kolosovka,RU,2022-05-22 04:56:28,56.4678,73.611,67.87,58,66,10.54,broken clouds
135,Ask,NO,2022-05-22 04:56:29,60.0717,11.0345,49.42,95,75,0.0,fog
136,Trelew,AR,2022-05-22 04:56:29,-43.249,-65.3051,58.41,42,74,23.44,broken clouds
137,Homer,US,2022-05-22 04:56:30,59.6425,-151.5483,52.77,52,99,11.01,overcast clouds
138,Kupang,ID,2022-05-22 04:56:30,-10.1667,123.5833,88.05,52,6,11.34,clear sky
139,Kasongo-Lunda,CD,2022-05-22 04:57:31,-6.4667,16.8167,68.32,98,25,1.01,scattered clouds
140,Buraydah,SA,2022-05-22 04:57:31,26.326,43.975,82.85,12,1,9.13,clear sky
141,Skibbereen,IE,2022-05-22 04:57:31,51.55,-9.2667,54.1,94,100,11.95,overcast clouds
142,Sulangan,PH,2022-05-22 04:57:32,11.1373,123.7228,84.16,70,89,2.57,overcast clouds
143,Sikasso,ML,2022-05-22 04:57:32,10.9167,-7.0,75.24,85,100,5.64,overcast clouds
144,Port Alfred,ZA,2022-05-22 04:57:33,-33.5906,26.891,57.06,80,2,5.77,clear sky
145,Nanortalik,GL,2022-05-22 04:57:33,60.1432,-45.2371,39.33,85,100,9.42,overcast clouds
146,Omboue,GA,2022-05-22 04:57:33,-1.5746,9.2618,73.83,90,98,6.24,overcast clouds
147,Sakakah,SA,2022-05-22 04:57:34,29.9697,40.2064,78.37,14,0,12.59,clear sky
148,Altmunster,AT,2022-05-22 04:54:26,47.9022,13.7642,56.12,84,37,0.81,scattered clouds
149,Brufut,GM,2022-05-22 04:57:34,13.3814,-16.7518,71.69,88,75,10.36,broken clouds
150,Tilichiki,RU,2022-05-22 04:57:35,60.4667,166.1,39.27,75,80,3.96,broken clouds
151,Les Cayes,HT,2022-05-22 04:57:35,18.2,-73.75,77.02,87,85,5.82,overcast clouds
152,Valparaiso,CL,2022-05-22 04:57:36,-33.0393,-71.6273,58.48,78,20,3.44,few clouds
153,Hobart,AU,2022-05-22 04:57:36,-42.8794,147.3294,56.26,73,40,11.5,scattered clouds
154,Batagay-Alyta,RU,2022-05-22 04:57:37,67.8006,130.4114,39.79,73,82,1.72,broken clouds
155,Warrington,GB,2022-05-22 04:57:37,53.3925,-2.5802,55.8,78,75,12.66,broken clouds
156,Dikson,RU,2022-05-22 04:57:37,73.5069,80.5464,28.67,88,67,12.62,broken clouds
